host_response_time,room_type,host_response_rate,host_acceptance_rate,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_len,neighborhood_overview_len,host_verifications_len,has_wifi,has_pool,has_kitchen,has_washer,has_dryer,has_ac,has_self_checkin,has_workspace,has_pet_allowed,has_free_parking,desc_1,desc_2,desc_3,desc_4,desc_5,n_1,n_2,n_3,target
2.0,1,100.0,92.0,9.0,1.0,1.0,2,1,1,1,7,180,102,3,1,1,1,1,1,1,1,0,8,8,0,0,0.94,45,0.0,4,1,1,0,1,1,1,0,0,0,1,0.30261717256713266,-0.16777014258433717,-0.05774420767121897,-0.03039913482388714,-0.021759388037024128,0.0,0.0,0.0,1
2.0,1,90.0,98.0,1.0,1.0,1.0,8,2,2,5,2,365,74,19,1,1,1,1,1,1,1,0,1,1,0,0,0.69,33,851.0,9,1,1,1,1,1,1,0,0,0,1,0.24055913947144947,0.01647229105969649,0.08277407007421886,-0.045946794864145754,-0.014680984864991808,0.49869814367125465,0.02704510683634793,-0.07020941006689783,1
5.0,1,0.0,88.0,1.0,1.0,1.0,2,1,1,1,29,185,13,3,2,1,1,1,1,1,2,0,1,1,0,0,0.34,50,90.0,6,1,0,1,0,0,1,0,0,0,1,0.2257459945602397,-0.06191764199166693,-0.002521407576923889,0.060127313807378804,-0.021895619760231327,0.035441411191129694,-0.07335862098300741,-0.03236910908112999,2
2.0,1,100.0,92.0,9.0,1.0,1.0,3,1,1,2,7,180,20,2,2,1,1,4,3,1,2,0,8,8,0,0,0.21,43,198.0,4,1,1,1,1,1,1,0,0,0,1,0.3309364555718243,-0.1990217418263013,-0.09696955607676466,-0.00446948331221768,0.013176817138824687,0.1735451342102512,-0.11607909739199188,0.03790267921717206,1
1.0,1,100.0,89.0,1.0,1.0,1.0,4,2,2,2,3,1125,153,26,1,1,1,1,1,1,1,0,1,1,0,0,1.81,36,63.0,6,1,1,1,1,1,1,0,0,0,1,0.2754055238409637,0.018883015685971206,0.020785475783366977,0.018328223337769813,-0.04695317835009406,0.021014408909766753,-0.0422387300571674,-0.015314695795371976,2
1.0,1,100.0,87.0,107.0,1.0,1.0,7,2,2,4,7,1125,5,2,2,1,1,1,4,4,2,0,50,50,0,0,0.06,50,0.0,5,1,1,1,1,1,1,0,0,0,1,0.3606476394661925,-0.0456101668386642,-0.03088712963268324,0.07399751339129317,0.029879348488931895,0.0,0.0,0.0,0
1.0,2,90.0,50.0,13.0,1.0,1.0,2,1,1,1,1,180,21,0,1,1,1,1,1,1,2,0,12,0,12,0,0.22,49,54.0,6,1,1,1,0,0,1,0,0,0,1,0.36307465969398234,-0.14247091918932026,-0.11872805965763583,0.07074719149402126,-0.08157799611258099,0.029290666648694154,-0.052615939892472915,-0.035079227150926,0
2.0,1,100.0,79.0,2.0,1.0,1.0,6,2,3,3,7,1125,17,0,3,2,2,2,2,1,2,0,1,1,0,0,0.17,38,77.0,5,1,0,1,1,1,1,0,0,0,1,0.30395136569307124,-0.09054567154336503,-0.07543792805709842,0.06896302346886428,-0.04761182823017973,0.1288325614640564,0.01502117302544459,-0.056380560914563775,1
3.0,1,50.0,5.0,4.0,1.0,1.0,10,4,5,5,6,1125,5,1,2,2,1,1,1,4,1,0,1,1,0,0,0.05,45,0.0,4,1,0,1,1,1,1,0,0,0,1,0.19604929133222282,0.06020588785429749,-0.031288490404731174,0.024114773842302706,-0.011923023779587361,0.0,0.0,0.0,2
1.0,2,90.0,50.0,13.0,1.0,1.0,2,1,1,1,1,1125,14,0,1,1,2,2,2,1,2,0,12,0,12,0,0.17,24,0.0,6,1,0,1,1,1,1,0,0,0,1,0.26338597680066667,0.02233518104424003,-0.001385296109810058,0.07455508836489683,-0.10286017801451756,0.0,0.0,0.0,1
1.0,1,100.0,99.0,4.0,1.0,0.0,4,1,1,1,2,150,46,6,2,2,2,2,3,1,1,0,1,1,0,0,0.47,23,137.0,6,1,0,1,1,1,1,0,0,0,1,0.18208466115708227,0.06625250725869102,0.026915228663605007,-0.023947199657885877,-0.04914013890773969,0.08700722357771072,-0.12122103121158993,-0.05297162927665043,2
